date,product,region,revenue
2026-09-24,iPad,North,35716
2026-09-24,iPad,South,36281
2026-09-24,iPad,South,34739
2026-09-24,iPhone,East,47045
2026-09-24,MacBook,South,45224
2026-09-24,MacBook,South,19248
2026-09-24,iPad,West,19217
2026-09-24,MacBook,South,39378
2026-09-24,AirPods,East,37002
2026-09-24,AirPods,East,7764
2026-09-24,MacBook,North,25036
2026-09-24,MacBook,South,22588
2026-09-24,MacBook,West,20704
2026-09-24,iPad,North,10994
2026-09-24,MacBook,West,28482
2026-09-24,AirPods,North,27390
2026-09-24,iPhone,East,34040
2026-09-24,iPad,East,22387
2026-09-24,MacBook,North,21915
2026-09-24,MacBook,East,8475
2026-09-24,iPad,South,21487
2026-09-24,iPad,North,39454
2026-09-24,AirPods,North,11692
2026-09-24,iPad,South,49589
2026-09-24,iPhone,South,36916
2026-09-24,MacBook,East,42047
2026-09-24,iPhone,West,37895
2026-09-24,iPhone,North,42980
2026-09-24,AirPods,South,17029
2026-09-24,iPhone,North,12907
2026-09-24,iPad,South,15733
2026-09-24,MacBook,South,46297
2026-09-24,iPhone,East,14020
2026-09-24,MacBook,West,23323
2026-09-24,iPad,East,11218
2026-09-24,iPhone,South,16989
2026-09-24,iPhone,West,41463
2026-09-24,MacBook,South,42435
2026-09-24,iPhone,South,23669
2026-09-24,AirPods,South,43348
2026-09-24,AirPods,West,39060
2026-09-24,iPad,South,31791
2026-09-24,iPad,East,5428
2026-09-24,MacBook,North,33005
2026-09-24,iPad,North,20346
2026-09-24,iPad,West,24821
2026-09-24,AirPods,North,43662
2026-09-24,iPad,North,12851
2026-09-24,MacBook,East,12434
2026-09-24,iPad,East,22730
